OBNOXIOUS,depressing,disgusting,arrogant,filthy
COVENANT,case,coupon,contract,settlement
DEFERENCE,indifference,sympathy,respect
ABROGATE,repeal,flattery,destroy,delay,dismiss
INTREPID,ambitious,determined,talkative,fearless
GRANDEUR,magnificence,admiration,happiness,awe
INCEPTION,initiative,beginning,initial,origin
COLOSSAL,famous,vigorous,energetic,enormous
PARADOX,Paradise,question,puzzle,challenge
PROLIFERATE,progression,prohibit,stipulate,reproduce
CENSURE,criticize,appreciate,blame,abuse
DILIGENT,industrious,indifferent,intelligent,energetic
CONTEMPLATION,consideration,meditation,deliberation,speculation
ADULATION,duration,argument,flattery,institution
QUIVER,quarrel,quicken,waver,tremble
BEAUTIFUL,handsome,alluring,appealing,attractive
MOMENTOUS,important,temporary,fleeting,monumental
INFATUATION,emotion,passion,imagination,compassion
CONSIGNEE,delegate,representative,nominee,messenger
TRAMP,wanderer,cheat,traveller,pilgrim
IRREVERENCE,disrespect,cruelty,unkindness,invalidity
AMICABLE,poisonous,friendly,satisfying,heartening
PRUDENT,skilled,experienced,cautious,criminal
PANACEA,flatter,praise,inactivity,cure-all
BENEVOLENCE,ill-will,morbidity,kindness,vision
VINDICATE,open,ventilate,justify,recommend
OCCULT,religious,unnatural,supernatural,strong
MENACE,request,prayer,threat,curse
DELINEATE,expand,portray,explain,argue
ABROGATE,elope,gate-crash,abolish,destroy
SUCCESSIVE,rapid,victorious,beneficent,consecutive
RAVAGE,destroy,break,demolish,abolish
SUPERSTITIOUS,pious,traditional,irrational,sacred
MENTOR,guide,genius,stylist,philosopher
GARNISH,paint,adorn,garner,banish
INFRUCTUOUS,meaningless,unnecessary,redundant,fruitless
FIDELITY,affection,allegiance,accuracy,loyalty
GRUFF,hard,rough,tough,sturdy
DOLEFUL,mournful,sober,regretful,cheerless
FATAL,terrible,deadly,poisonous,wrong
ELUDE,allure,leave,deceive,escape
PREMONITION,insight,uncertainty,forewarning,scope
DEROGATORY,injurious,shattering,destructive,disparaging
NOMADIC,fighting,rare,strange,wandering
RESTIVE,rested,restless,limited,limitless
ERRONEOUSLY,previously,effectively,wrongly,evidently
ESTRANGED,jealous,angry,separated,suspicious
CAPITULATE,repeat,execute,summarize,surrender
PROPITIATE,conform,appease,influence,approach
CEREMONIAL,religious,formal,official,pompous
OBSESSION,pre-occupation,suspicion,frustration,dejection
DILATE,spin,weaken,widen,push
DUPLICATION,breed,reproduction,print,copying
PRIORITY,urgency,protocol,precedence,necessity
FLUTTER,soar,agitate,change,float
COMMAND,lead,instruct,manage,supervise
GNOME,giant,dwarf,native,alien
ABLUTION,censure,forgiveness,absolution,washing
SURMOUNT,discount,surround,overcome,capture
TORPID,insipid,stupid,sensitive,inactive
SELECTION,denial,preference,refusal,display
OSTENTATION,pomp,pretence,abundance,plenty
CONVICT,adventurer,fugitive,criminal,impostor
ITINERANT,frequentuseoftheword‘it’,anythinginvolvingrepetition,planforaproposedjourney,travellingfromplacetoplace
TRANSPARENT,verbose,involved,witty,lucid
ENLIVEN,dampen,cheer,depress,subdue
HAUGHTY,humble,subservient,meek,conceited
DEMENTED,reasonable,sensible,idiotic,lucid
ILL-BRED,uncouth,well-bred,courteous,mannerly
KNACK,dexterity,awkwardness,clumsiness,disability
LACONIC,loquacious,concise,rambling,verbose
KNAVISH,honourable,noble,trustworthy,unscrupulous
ASSERTIVE,unassertive,timorous,domineering,unobtrusive
CAPRICIOUS,whimsical,decisive,unmovable,stable
DEXTERITY,incompetence,gaucheness,adroitness,ineptitude
OBSTINATE,stubborn,pretty,silly,clever
ALERT,hostile,watchful,brave,quick
ACCEDE,consent,access,assess,proceed
SUPERANNUATED,experienced,accepted,retired,senile
AUDACITY,strength,boldness,asperity,fear
DECREPITUDE,disease,coolness,crowd,feebleness
TRANSITION,position,translation,change,movement
ACCUSED,indicated,indicted,induced,instigated
BECKONED,accused,called,sent,acquitted
GENUINE,generous,healthy,natural,original
SOMBRE,gloomy,quiet,serious,sleepy

